,area,Quarter,violations,lon,lat,borough,violations_borough_total,borough_avg,deviation_pct
89,Lower East Side,2025Q4,886,-73.98599999999999,40.71500014657989,Manhattan,23276,3325.1428571428573,-0.733545282694621
90,Lower Manhattan / FiDi,2024Q4,2370,-74.01130000000003,40.70750014663229,Manhattan,29390,4198.571428571428,-0.4355222864920041
91,Lower Manhattan / FiDi,2025Q1,7378,-74.01130000000003,40.70750014663229,Manhattan,83038,11862.57142857143,-0.37804378718177223
92,Lower Manhattan / FiDi,2025Q2,9985,-74.01130000000003,40.70750014663229,Manhattan,96425,13775.0,-0.2751361161524501
93,Lower Manhattan / FiDi,2025Q3,8902,-74.01130000000003,40.70750014663229,Manhattan,93441,13348.714285714286,-0.33311929452809796
94,Lower Manhattan / FiDi,2025Q4,1756,-74.01130000000003,40.70750014663229,Manhattan,23276,3325.1428571428573,-0.47190238872658535
95,Maspeth,2024Q4,130,-73.91199999999996,40.72390014651772,Queens,11378,1896.3333333333333,-0.9314466514325892
96,Maspeth,2025Q1,441,-73.91199999999996,40.72390014651772,Queens,31231,5205.166666666667,-0.9152764881047677
97,Maspeth,2025Q2,264,-73.91199999999996,40.72390014651772,Queens,33972,5662.0,-0.9533733663016601
98,Maspeth,2025Q3,10,-73.91199999999996,40.72390014651772,Queens,26386,4397.666666666667,-0.9977260668536345
99,Maspeth,2025Q4,4,-73.91199999999996,40.72390014651772,Queens,7359,1226.5,-0.9967386873216469
100,Mid-Island / New Dorp,2024Q4,5,-74.11719999999995,40.573500147567415,Staten Island,1641,547.0,-0.9908592321755028
101,Mid-Island / New Dorp,2025Q1,24,-74.11719999999995,40.573500147567415,Staten Island,3373,1124.3333333333333,-0.978654017195375
102,Mid-Island / New Dorp,2025Q2,42,-74.11719999999995,40.573500147567415,Staten Island,2678,892.6666666666666,-0.9529499626587005
103,Mid-Island / New Dorp,2025Q3,48,-74.11719999999995,40.573500147567415,Staten Island,2554,851.3333333333334,-0.9436178543461238
104,Mid-Island / New Dorp,2025Q4,12,-74.11719999999995,40.573500147567415,Staten Island,823,274.3333333333333,-0.9562575941676792
105,Midtown,2024Q4,1330,-73.98400000000002,40.754900146301075,Manhattan,29390,4198.571428571428,-0.6832255869343314
106,Midtown,2025Q1,4471,-73.98400000000002,40.754900146301075,Manhattan,83038,11862.57142857143,-0.6231002673474795
107,Midtown,2025Q2,7689,-73.98400000000002,40.754900146301075,Manhattan,96425,13775.0,-0.4418148820326679
108,Midtown,2025Q3,15172,-73.98400000000002,40.754900146301075,Manhattan,93441,13348.714285714286,0.13658886356096356
109,Midtown,2025Q4,4147,-73.98400000000002,40.754900146301075,Manhattan,23276,3325.1428571428573,0.24716446124763697
110,Mott Haven,2024Q4,2854,-73.92200000000003,40.80900014592272,Bronx,19947,3324.5,-0.14152504135960295
111,Mott Haven,2025Q1,8916,-73.92200000000003,40.80900014592272,Bronx,59447,9907.833333333334,-0.10010597675240135
112,Mott Haven,2025Q2,8282,-73.92200000000003,40.80900014592272,Bronx,59693,9948.833333333334,-0.16754058264788171
113,Mott Haven,2025Q3,6860,-73.92200000000003,40.80900014592272,Bronx,49575,8262.5,-0.1697428139183056
114,Mott Haven,2025Q4,1946,-73.92200000000003,40.80900014592272,Bronx,14067,2344.5,-0.16997227553849434
115,Pelham Parkway,2024Q4,26,-73.85900000000002,40.85750014558328,Bronx,19947,3324.5,-0.9921792750789592
116,Pelham Parkway,2025Q1,80,-73.85900000000002,40.85750014558328,Bronx,59447,9907.833333333334,-0.9919255807694248
117,Pelham Parkway,2025Q2,53,-73.85900000000002,40.85750014558328,Bronx,59693,9948.833333333334,-0.9946727421975776
118,Pelham Parkway,2025Q3,69,-73.85900000000002,40.85750014558328,Bronx,49575,8262.5,-0.9916490166414523
119,Pelham Parkway,2025Q4,60,-73.85900000000002,40.85750014558328,Bronx,14067,2344.5,-0.9744081893793985
120,Riverdale,2025Q3,416,-73.91399999999999,40.90300014526461,Bronx,49575,8262.5,-0.9496520423600605
121,Riverdale,2025Q4,597,-73.91399999999999,40.90300014526461,Bronx,14067,2344.5,-0.745361484325016
122,Soho / Greenwich Village,2024Q4,260,-74.00000000000001,40.72800014648909,Manhattan,29390,4198.571428571428,-0.9380741748894181
123,Soho / Greenwich Village,2025Q1,760,-74.00000000000001,40.72800014648909,Manhattan,83038,11862.57142857143,-0.9359329463619066
124,Soho / Greenwich Village,2025Q2,1276,-74.00000000000001,40.72800014648909,Manhattan,96425,13775.0,-0.9073684210526316
125,Soho / Greenwich Village,2025Q3,1520,-74.00000000000001,40.72800014648909,Manhattan,93441,13348.714285714286,-0.886131355614773
126,Soho / Greenwich Village,2025Q4,254,-74.00000000000001,40.72800014648909,Manhattan,23276,3325.1428571428573,-0.9236123045196769
127,South Bronx,2024Q4,10019,-73.90700000000001,40.81600014587375,Bronx,19947,3324.5,2.0136862686118215
128,South Bronx,2025Q1,30512,-73.90700000000001,40.81600014587375,Bronx,59447,9907.833333333334,2.079583494541356
129,South Bronx,2025Q2,30189,-73.90700000000001,40.81600014587375,Bronx,59693,9948.833333333334,2.034426147119427
130,South Bronx,2025Q3,24453,-73.90700000000001,40.81600014587375,Bronx,49575,8262.5,1.9595158850226928
131,South Bronx,2025Q4,6765,-73.90700000000001,40.81600014587375,Bronx,14067,2344.5,1.8854766474728086
132,St. George,2024Q4,784,-74.07399999999998,40.64380014707707,Staten Island,1641,547.0,0.43327239488117003
133,St. George,2025Q1,1652,-74.07399999999998,40.64380014707707,Staten Island,3373,1124.3333333333333,0.4693151497183517
134,St. George,2025Q2,1381,-74.07399999999998,40.64380014707707,Staten Island,2678,892.6666666666666,0.5470500373412995
135,St. George,2025Q3,1369,-74.07399999999998,40.64380014707707,Staten Island,2554,851.3333333333334,0.6080657791699294
136,St. George,2025Q4,422,-74.07399999999998,40.64380014707707,Staten Island,823,274.3333333333333,0.5382746051032807
137,Staten Island North Shore,2024Q4,852,-74.08749999999999,40.6411001470959,Staten Island,1641,547.0,0.5575868372943327
138,Staten Island North Shore,2025Q1,1697,-74.08749999999999,40.6411001470959,Staten Island,3373,1124.3333333333333,0.5093388674770235
139,Staten Island North Shore,2025Q2,1255,-74.08749999999999,40.6411001470959,Staten Island,2678,892.6666666666666,0.4058999253174011
140,Staten Island North Shore,2025Q3,1137,-74.08749999999999,40.6411001470959,Staten Island,2554,851.3333333333334,0.3355520751761941
141,Staten Island North Shore,2025Q4,389,-74.08749999999999,40.6411001470959,Staten Island,823,274.3333333333333,0.4179829890643986
142,Upper East Side,2024Q4,8777,-73.95659999999997,40.77360014617028,Manhattan,29390,4198.571428571428,1.0904729499829875
143,Upper East Side,2025Q1,30994,-73.95659999999997,40.77360014617028,Manhattan,83038,11862.57142857143,1.6127556058671932
144,Upper East Side,2025Q2,35526,-73.95659999999997,40.77360014617028,Manhattan,96425,13775.0,1.5790199637023594
145,Upper East Side,2025Q3,33452,-73.95659999999997,40.77360014617028,Manhattan,93441,13348.714285714286,1.5060091394569834
146,Upper East Side,2025Q4,8696,-73.95659999999997,40.77360014617028,Manhattan,23276,3325.1428571428573,1.6152259838460217
147,Upper West Side,2024Q4,2489,-73.9754,40.787000146076586,Manhattan,29390,4198.571428571428,-0.4071793126913916
148,Upper West Side,2025Q1,8913,-73.9754,40.787000146076586,Manhattan,83038,11862.57142857143,-0.24864519858378098
149,Upper West Side,2025Q2,9259,-73.9754,40.787000146076586,Manhattan,96425,13775.0,-0.3278402903811252
150,Upper West Side,2025Q3,7628,-73.9754,40.787000146076586,Manhattan,93441,13348.714285714286,-0.428559197782558
151,Upper West Side,2025Q4,2180,-73.9754,40.787000146076586,Manhattan,23276,3325.1428571428573,-0.34438907028699095
152,Williamsburg,2024Q4,1113,-73.95710000000003,40.7081001466281,Brooklyn,23975,2996.875,-0.6286131386861313
153,Williamsburg,2025Q1,3368,-73.95710000000003,40.7081001466281,Brooklyn,58789,7348.625,-0.5416829679021585
154,Williamsburg,2025Q2,3289,-73.95710000000003,40.7081001466281,Brooklyn,53593,6699.125,-0.5090403597484746
155,Williamsburg,2025Q3,3173,-73.95710000000003,40.7081001466281,Brooklyn,51898,6487.25,-0.5108867393733862
156,Williamsburg,2025Q4,831,-73.95710000000003,40.7081001466281,Brooklyn,12993,1624.125,-0.48833987531747863
